"time","mean_OMUVBd_003_UVindex"
2022-07-02,9.36264229
2022-07-03,9.14504051
2022-07-04,9.0869627
2022-07-05,8.90183926
2022-07-06,8.69314194
2022-07-07,9.22051239
2022-07-08,8.84554005
2022-07-09,8.99558449
2022-07-10,8.9112978
2022-07-11,8.68408108
2022-07-12,8.76618576
2022-07-13,8.43979263
2022-07-14,8.61973
2022-07-15,8.95832539
2022-07-16,9.23278809
2022-07-17,7.79706621
2022-07-18,9.25242901
2022-07-19,9.61356163
2022-07-20,9.50529575
2022-07-21,9.94598293
2022-07-22,8.98069763
2022-07-23,9.82874775
2022-07-24,9.80663872
2022-07-25,9.23012829
2022-07-26,9.70343018
2022-07-27,9.39451218
2022-07-28,8.94940260550338
2022-07-29,8.96942616
2022-07-30,9.29000759
2022-07-31,8.96767521
2022-08-01,9.79911709
2022-08-02,9.20210075
2022-08-03,8.81942654
2022-08-04,9.85173416
2022-08-05,9.6143856
2022-08-06,9.87948132
2022-08-07,10.8492117
2022-08-08,10.7550135
2022-08-09,9.87327957
2022-08-10,10.3705978
2022-08-11,10.92368196438
2022-08-12,10.6522598
2022-08-13,9.6448288
2022-08-14,9.72655869
2022-08-15,10.3315153
2022-08-16,9.58429527
2022-08-17,10.5519838
2022-08-18,10.090929
2022-08-19,10.6214199
2022-08-20,10.5601206
2022-08-21,9.90102768
2022-08-22,10.6074829
2022-08-23,10.8438272
2022-08-24,10.6927395
2022-08-25,10.0512342
2022-08-26,10.1634054
2022-08-27,10.5386124
2022-08-28,10.1360483
2022-08-29,11.000721
2022-08-30,9.91281033
2022-08-31,11.731988
2022-09-01,11.4078121
2022-09-02,10.5119333
2022-09-03,10.90837
2022-09-04,10.1390495
2022-09-05,9.92741108
2022-09-06,10.7620039
2022-09-07,10.1883821
2022-09-08,10.4651423
2022-09-09,11.005526358001
2022-09-10,10.8604412
2022-09-11,10.4417515
2022-09-12,11.6595325
2022-09-13,9.74756145
2022-09-14,11.1061544
2022-09-15,11.9607859
2022-09-16,11.4650688
2022-09-17,10.6293545
2022-09-18,10.9962902
2022-09-19,11.2877722
2022-09-20,10.9648581
2022-09-21,10.9301996
2022-09-22,10.8391075
2022-09-23,12.0167532
2022-09-24,11.2152042
2022-09-25,11.8816957
2022-09-26,11.8022375
2022-09-27,11.9209747
2022-09-28,11.9885254
2022-09-29,10.638032
2022-09-30,11.5960579
2022-10-01,11.4264736
2022-10-02,11.1205053
2022-10-03,11.6464195
2022-10-04,11.2996836
2022-10-05,10.8955975
2022-10-06,10.3925056
2022-10-07,11.0503531
2022-10-08,10.9182329
2022-10-09,10.9096537
2022-10-10,10.8250256
2022-10-11,10.0968332
2022-10-12,11.81141
2022-10-13,11.0926399
2022-10-14,11.8605194
2022-10-15,10.5497417
2022-10-16,11.4216509
2022-10-17,11.196208
2022-10-18,11.1563368
2022-10-19,10.4595919
2022-10-20,11.4146919
2022-10-21,10.8959656
2022-10-22,11.0587454
2022-10-23,11.5480852
2022-10-24,10.6296082
2022-10-25,10.7320566
2022-10-26,10.6342907
2022-10-27,10.5558119
2022-10-28,11.120182
2022-10-29,11.0895252
2022-10-30,11.6590719
2022-10-31,11.1667995
2022-11-01,10.8423643
2022-11-02,11.2544203
2022-11-03,11.1149979
2022-11-04,10.8198309
2022-11-05,10.757864
2022-11-06,10.1397533
2022-11-07,10.3155718
2022-11-08,10.4996252
2022-11-09,10.4500713
2022-11-10,10.2762575
2022-11-11,10.4771376
2022-11-12,10.2044716
2022-11-13,10.847043
2022-11-14,9.99812508
2022-11-15,10.374053
2022-11-16,9.6201973
2022-11-17,10.3627548
2022-11-18,10.0203352
2022-11-19,9.19811821
2022-11-20,10.0791883
2022-11-21,10.8441324
2022-11-22,11.0077019
2022-11-23,8.95270729
2022-11-24,10.2233009
2022-11-25,10.1753521
2022-11-26,10.8040457
2022-11-27,11.2902584
2022-11-28,10.9189596
2022-11-29,10.0692692
2022-11-30,10.1622896
2022-12-01,10.3020277
2022-12-02,10.3402395
2022-12-03,10.1994686
2022-12-04,10.6508102
2022-12-05,10.2099285
2022-12-06,10.7142525
2022-12-07,10.4641485
2022-12-08,10.8935871
2022-12-09,9.74993706
2022-12-10,10.3039598
